person_id,entry_time,exit_time,section_A_in,section_A_out,section_B_in,section_B_out,section_C_in,section_C_out,gender,age,total_time,A_time,B_time,C_time
484,23:28:04,23:28:45,,,,,,,male,20-39,41,0,0,0
485,23:28:05,23:28:55,,,,,23:28:28,23:28:32,male,0-19,50,0,0,4
486,23:28:08,23:28:47,,,23:28:08,,,,male,20-39,39,0,0,0
487,23:28:09,23:28:36,,,,,,,male,60+,27,0,0,0
488,23:28:12,23:28:32,,,,,,,male,0-19,20,0,0,0
489,23:28:15,23:28:58,,,,,,,male,60+,43,0,0,0
490,23:28:18,23:32:06,,,23:28:25,23:30:12,,,female,60+,228,0,107,0
496,23:28:22,23:29:08,,,,,,,male,60+,46,0,0,0
497,23:28:23,23:28:44,,,,,,,male,60+,21,0,0,0
504,23:28:32,23:28:55,,,,,23:28:32,,female,60+,23,0,0,0
506,23:28:33,23:32:08,,,23:29:55,23:30:00,,,male,20-39,215,0,5,0
507,23:28:35,23:35:15,,,23:30:44,23:30:03,,,male,60+,400,0,0,0
509,23:28:38,23:31:15,,,23:28:38,23:29:32,23:29:47,23:30:07,male,60+,157,0,54,20
513,23:28:46,23:29:59,,,,,,,male,60+,73,0,0,0
514,23:28:50,23:29:15,,,,,,,male,20-39,25,0,0,0
516,23:28:52,23:38:42,,,,,23:36:18,23:37:24,female,60+,590,0,0,66
517,23:28:53,23:29:25,,,23:28:53,,,,female,60+,32,0,0,0
519,23:29:03,23:29:59,,,23:29:03,,,,male,60+,56,0,0,0
520,23:29:06,23:29:38,23:29:06,,,,,,male,60+,32,0,0,0
522,23:29:12,23:36:45,,,23:34:42,23:35:39,,,male,0-19,453,0,57,0
524,23:29:14,23:29:33,,,,,,,male,20-39,19,0,0,0
527,23:29:17,23:37:35,,,23:29:25,23:36:32,,,male,20-39,498,0,427,0
528,23:29:22,23:30:34,,,,,23:29:38,23:30:09,male,60+,72,0,0,31
529,23:29:24,23:31:24,23:29:50,23:30:28,,,,,male,60+,120,38,0,0
532,23:29:26,23:31:09,,,,,,,male,0-19,103,0,0,0
533,23:29:27,23:30:06,,,,,,,female,60+,39,0,0,0
536,23:29:34,23:39:48,23:34:44,23:34:40,,,,,male,60+,614,0,0,0
542,23:29:39,23:35:06,,,,,23:34:10,23:34:32,male,60+,327,0,0,22
543,23:29:40,23:30:04,23:29:40,,,,,,male,60+,24,0,0,0
547,23:29:44,23:43:05,,,23:32:46,23:36:31,,,female,60+,801,0,225,0
549,23:29:48,23:30:21,,,,,,,male,20-39,33,0,0,0
550,23:29:50,23:30:14,23:29:50,,,,,,female,60+,24,0,0,0
551,23:29:51,23:32:41,,,,,,,female,20-39,170,0,0,0
553,23:29:54,23:30:19,,,,,,,male,20-39,25,0,0,0
554,23:29:54,23:37:27,,,,,,,male,20-39,453,0,0,0
555,23:29:56,23:30:21,23:29:56,,,,,,male,60+,25,0,0,0
563,23:30:01,23:30:34,23:30:01,,,,,,male,20-39,33,0,0,0
565,23:30:05,23:39:56,,,,,,,male,60+,591,0,0,0
567,23:30:09,23:30:32,,,,,,,male,60+,23,0,0,0
569,23:30:11,23:31:44,,,,,23:30:20,23:30:40,female,60+,93,0,0,20
577,23:30:18,23:31:57,,,,,23:30:18,,male,60+,99,0,0,0
581,23:30:23,23:33:25,,,23:31:17,23:31:33,,,male,20-39,182,0,16,0
583,23:30:25,23:31:24,,,,,,,male,20-39,59,0,0,0
585,23:30:27,23:30:49,23:30:28,,,,,,male,40-59,22,0,0,0
586,23:30:28,23:31:08,,,,,,,male,20-39,40,0,0,0
589,23:30:30,23:36:17,23:32:16,,,,,,female,60+,347,0,0,0
590,23:30:31,23:31:10,,,,,,,male,60+,39,0,0,0
594,23:30:35,23:30:54,23:30:36,,,,,,female,20-39,19,0,0,0
595,23:30:37,23:31:08,,,,,,,male,60+,31,0,0,0
600,23:30:41,23:31:18,,,,,,,male,60+,37,0,0,0
604,23:30:47,23:31:11,,,,,,,female,60+,24,0,0,0
605,23:30:52,23:31:09,23:30:53,,,,,,male,20-39,17,0,0,0
608,23:30:55,23:31:14,23:30:56,23:30:58,,,,,male,20-39,19,2,0,0
612,23:31:12,23:32:14,,,,,,,male,60+,62,0,0,0
613,23:31:14,23:31:56,,,,,,,male,60+,42,0,0,0
615,23:31:16,23:33:04,23:32:06,23:32:41,,,23:31:27,23:31:27,male,40-59,108,35,0,0
619,23:31:19,23:31:58,,,,,,,male,60+,39,0,0,0
621,23:31:22,23:31:43,,,,,,,male,20-39,21,0,0,0
623,23:31:24,23:34:13,,,,,,,male,60+,169,0,0,0
625,23:31:26,23:31:45,,,,,,,male,20-39,19,0,0,0
629,23:31:29,23:32:21,,,,,,,male,20-39,52,0,0,0
631,23:31:31,23:38:58,23:38:25,23:38:29,,,,,female,60+,447,4,0,0
634,23:31:34,23:43:42,23:38:55,23:39:09,,,23:39:29,23:40:19,male,60+,728,14,0,50
636,23:31:36,23:31:55,,,,,,,male,20-39,19,0,0,0
640,23:31:40,23:34:43,,,,,,,male,60+,183,0,0,0
642,23:31:42,23:32:18,,,,,,,male,20-39,36,0,0,0
646,23:31:46,23:32:49,,,,,23:31:46,,female,20-39,63,0,0,0
647,23:31:48,23:32:11,,,,,,,male,60+,23,0,0,0
651,23:31:50,23:46:01,23:42:23,23:45:09,23:32:29,23:37:03,,,female,60+,851,166,274,0
652,23:31:51,23:33:26,23:32:33,23:32:57,,,,,male,60+,95,24,0,0
660,23:32:00,23:32:24,,,,,23:32:00,,male,60+,24,0,0,0
665,23:32:05,23:32:58,23:32:06,23:32:39,,,,,male,20-39,53,33,0,0
666,23:32:06,23:32:26,,,,,,,male,20-39,20,0,0,0
668,23:32:09,23:32:29,23:32:09,,,,,,male,20-39,20,0,0,0
669,23:32:09,23:33:04,,,,,23:32:39,23:32:34,male,60+,55,0,0,0
670,23:32:11,23:33:30,,,,,,,male,60+,79,0,0,0
671,23:32:13,23:32:37,,,,,,,male,20-39,24,0,0,0
675,23:32:19,23:36:18,,,,,,,male,60+,239,0,0,0
680,23:32:23,23:35:14,23:34:47,,,,,,male,20-39,171,0,0,0
682,23:32:25,23:32:40,,,,,,,male,20-39,15,0,0,0
690,23:32:36,23:33:28,23:33:08,23:33:04,,,,,male,60+,52,0,0,0
697,23:32:48,23:33:23,23:32:49,,,,,,male,20-39,35,0,0,0
699,23:32:49,23:33:14,,,,,,,female,60+,25,0,0,0
700,23:32:50,23:36:07,23:34:53,,23:33:23,23:33:32,23:33:35,23:34:29,male,60+,197,0,9,54
701,23:32:52,23:33:26,,,,,,,female,60+,34,0,0,0
703,23:32:55,23:36:19,23:34:02,23:35:33,23:35:55,,23:33:06,23:33:08,male,20-39,204,91,0,2
709,23:32:56,23:33:14,,,23:32:56,,,,male,60+,18,0,0,0
710,23:33:00,23:35:28,23:33:51,23:34:47,,,23:33:00,23:33:32,female,40-59,148,56,0,32
717,23:33:08,23:35:17,,,,,,,male,60+,129,0,0,0
718,23:33:09,23:35:04,23:33:09,,,,,,male,20-39,115,0,0,0
719,23:33:10,23:37:24,,,,,,,female,60+,254,0,0,0
721,23:33:12,23:48:29,23:48:03,23:48:08,,,23:36:06,23:36:06,male,60+,917,5,0,0
724,23:33:17,23:33:44,,,,,,,male,20-39,27,0,0,0
726,23:33:20,23:38:19,,,,,23:36:50,23:36:50,male,60+,299,0,0,0
727,23:33:21,23:34:10,,,,,,,male,60+,49,0,0,0
729,23:33:24,23:35:40,,,,,23:34:46,,male,60+,136,0,0,0
731,23:33:25,23:33:45,,,,,,,male,60+,20,0,0,0
732,23:33:30,23:33:52,,,,,23:33:30,,male,60+,22,0,0,0
733,23:33:31,23:35:47,23:35:11,23:35:15,,,,,male,60+,136,4,0,0
737,23:33:33,23:39:01,23:37:27,23:38:08,,,23:35:40,23:36:09,male,20-39,328,41,0,29
738,23:33:36,23:47:05,,,23:42:07,23:46:03,23:35:59,23:38:08,male,60+,809,0,236,129
740,23:33:40,23:37:46,,,,,23:37:27,23:36:20,male,20-39,246,0,0,0
745,23:33:43,23:37:05,,,23:33:54,23:35:42,,,male,60+,202,0,108,0
748,23:33:45,23:36:03,,,,,,,female,60+,138,0,0,0
755,23:33:48,23:34:20,,,,,,,male,60+,32,0,0,0
759,23:33:50,23:34:20,,,,,,,male,60+,30,0,0,0
760,23:33:51,23:38:25,23:37:23,,23:34:39,23:36:43,,,male,40-59,274,0,124,0
761,23:33:52,23:37:36,,,,23:36:31,23:36:07,23:35:05,male,60+,224,0,84991,0
762,23:33:53,23:41:47,23:39:39,23:39:43,,,,,male,60+,474,4,0,0
763,23:33:55,23:41:16,23:34:17,23:35:37,23:39:00,23:39:20,,,male,60+,441,80,20,0
